frame_number,filename,timestamp_sec,predicted_emotion,confidence,prob_Angry,prob_Disgusted,prob_Fearful,prob_Happy,prob_Neutral,prob_Sad,prob_Surprised
74,0075.jpg,14.8,Angry,0.16518322,0.16518322,0.16179807,0.13952206,0.13777387,0.13691956,0.1350549,0.12374836
75,0076.jpg,15.0,Angry,0.16571973,0.16571973,0.16074789,0.13855143,0.13947764,0.13648137,0.1362432,0.122778796
76,0077.jpg,15.2,Angry,0.166588,0.166588,0.16194744,0.13707256,0.1381079,0.13584901,0.13655612,0.12387899
77,0078.jpg,15.4,Angry,0.165183,0.165183,0.16447502,0.14049068,0.1347822,0.13549316,0.13496059,0.124615364
78,0079.jpg,15.6,Angry,0.16429313,0.16429313,0.16404335,0.14012176,0.13554592,0.13629813,0.13553375,0.12416394
79,0080.jpg,15.8,Angry,0.16687234,0.16687234,0.164616,0.1387254,0.13553162,0.13545485,0.13556428,0.123235576
80,0081.jpg,16.0,Angry,0.1660612,0.1660612,0.16415015,0.13832776,0.13710113,0.13581164,0.13540448,0.12314364
81,0082.jpg,16.2,Angry,0.16521402,0.16521402,0.164225,0.13859963,0.13737439,0.13622743,0.13465202,0.12370753
82,0083.jpg,16.4,Angry,0.1654415,0.1654415,0.1611295,0.14030406,0.13549043,0.13781948,0.13616176,0.12365328
83,0084.jpg,16.6,Angry,0.16563243,0.16563243,0.16213956,0.13808976,0.13573731,0.1376517,0.136753,0.12399619
84,0085.jpg,16.8,Angry,0.16494131,0.16494131,0.16264956,0.14125524,0.13523684,0.13679993,0.1350854,0.12403175
85,0086.jpg,17.0,Disgusted,0.16617888,0.16574374,0.16617888,0.13922131,0.1350076,0.13448463,0.1347478,0.124616034
86,0087.jpg,17.2,Angry,0.1657408,0.1657408,0.16495673,0.13925624,0.13525942,0.13589765,0.13441242,0.12447679
87,0088.jpg,17.4,Angry,0.16658628,0.16658628,0.16392796,0.13894948,0.13589776,0.13652013,0.13462412,0.12349428
88,0089.jpg,17.6,Angry,0.1660043,0.1660043,0.16235678,0.1394357,0.13520852,0.13766283,0.13608313,0.12324877
89,0090.jpg,17.8,Angry,0.16715512,0.16715512,0.16219631,0.1398703,0.13476576,0.13661443,0.1356735,0.12372462
90,0091.jpg,18.0,Angry,0.16659379,0.16659379,0.16386263,0.13912797,0.13488041,0.13674033,0.13506752,0.12372739
91,0092.jpg,18.2,Angry,0.16602512,0.16602512,0.16508733,0.13921061,0.13444002,0.13644502,0.1345911,0.124200866
92,0093.jpg,18.4,Angry,0.16528606,0.16528606,0.1630888,0.13891907,0.13720097,0.13778248,0.13441713,0.1233055
93,0094.jpg,18.6,Angry,0.16510572,0.16510572,0.16377443,0.13907021,0.13648148,0.13761324,0.13442947,0.123525426
94,0095.jpg,18.8,Disgusted,0.16493545,0.16407652,0.16493545,0.13959615,0.13607487,0.13770042,0.13424449,0.123372115
95,0096.jpg,19.0,Angry,0.16519545,0.16519545,0.16373618,0.13925412,0.13423024,0.13796483,0.13605152,0.12356761
96,0097.jpg,19.2,Angry,0.16557954,0.16557954,0.162743,0.13931572,0.13403617,0.13768436,0.13682556,0.12381561
97,0098.jpg,19.4,Angry,0.16589464,0.16589464,0.16151622,0.14091195,0.13385066,0.13788404,0.13490684,0.12503569
98,0099.jpg,19.6,Angry,0.16500698,0.16500698,0.1623533,0.14101811,0.13374563,0.13770723,0.13412209,0.1260467
99,0100.jpg,19.8,Angry,0.1637572,0.1637572,0.16199908,0.14258853,0.13457926,0.13748047,0.13377668,0.12581883
100,0101.jpg,20.0,Angry,0.16348106,0.16348106,0.1618231,0.14272447,0.1346322,0.1383057,0.13295268,0.12608072
101,0102.jpg,20.2,Angry,0.16612987,0.16612987,0.16310862,0.13923487,0.1330271,0.13705815,0.13670748,0.12473402
102,0103.jpg,20.4,Angry,0.16676421,0.16676421,0.16046615,0.13835843,0.13466267,0.1366061,0.13750072,0.12564175
103,0104.jpg,20.6,Angry,0.16645294,0.16645294,0.16318768,0.13893346,0.13217944,0.13608356,0.13633795,0.12682502
104,0105.jpg,20.8,Angry,0.16380653,0.16380653,0.16202237,0.14281799,0.13575181,0.13766362,0.13186233,0.12607537
105,0106.jpg,21.0,Angry,0.16294715,0.16294715,0.16145855,0.14343844,0.1364488,0.13830674,0.13109514,0.12630515
106,0107.jpg,21.2,Angry,0.16703145,0.16703145,0.1624589,0.13885239,0.13444698,0.13702609,0.1340362,0.12614799
107,0108.jpg,21.4,Angry,0.16551663,0.16551663,0.16325681,0.14151567,0.13392685,0.1369751,0.13276796,0.126041
108,0109.jpg,21.6,Disgusted,0.16337566,0.1627202,0.16337566,0.14207153,0.13589142,0.13861504,0.1312585,0.12606758
109,0110.jpg,21.8,Angry,0.16402735,0.16402735,0.1610792,0.14239669,0.13542315,0.13694268,0.13384214,0.12628876
110,0111.jpg,22.0,Angry,0.16466221,0.16466221,0.16089249,0.1422187,0.13495241,0.13688695,0.13433468,0.12605262
111,0112.jpg,22.2,Angry,0.16436552,0.16436552,0.16106349,0.14223547,0.13516745,0.13699709,0.13460061,0.12557037
112,0113.jpg,22.4,Angry,0.1650777,0.1650777,0.16070598,0.1424666,0.13488284,0.13750769,0.13365279,0.12570648
113,0114.jpg,22.6,Angry,0.1652258,0.1652258,0.16137944,0.1428446,0.13452244,0.13813847,0.13238968,0.12549953
114,0115.jpg,22.8,Angry,0.16536516,0.16536516,0.1604522,0.14224248,0.13493104,0.13804282,0.1335925,0.12537391
115,0116.jpg,23.0,Angry,0.16573708,0.16573708,0.1618832,0.14244328,0.13448563,0.13801278,0.13220349,0.12523451
116,0117.jpg,23.2,Angry,0.16468215,0.16468215,0.1613657,0.14083086,0.13746573,0.13617975,0.1340379,0.12543793
117,0118.jpg,23.4,Angry,0.16465937,0.16465937,0.16121638,0.14166066,0.13786063,0.13552536,0.13374677,0.12533088
118,0119.jpg,23.6,Angry,0.16368498,0.16368498,0.16060413,0.14279634,0.136231,0.13742542,0.13350144,0.1257566
119,0120.jpg,23.8,Angry,0.16438416,0.16438416,0.16213661,0.14099376,0.13514458,0.13783672,0.13433437,0.1251697
120,0121.jpg,24.0,Angry,0.16627069,0.16627069,0.161948,0.13993272,0.13427486,0.1345284,0.13879472,0.12425065
121,0122.jpg,24.2,Angry,0.16413262,0.16413262,0.16145945,0.14066601,0.13704795,0.1373599,0.13403484,0.12529925
122,0123.jpg,24.4,Angry,0.1645106,0.1645106,0.16256034,0.13953847,0.13580112,0.13715822,0.13560033,0.124830976
123,0124.jpg,24.6,Angry,0.16580924,0.16580924,0.16199239,0.13930678,0.13603938,0.13732792,0.13531986,0.12420452
124,0125.jpg,24.8,Angry,0.16601922,0.16601922,0.16238657,0.13941924,0.13435313,0.13673235,0.13660577,0.12448379
125,0126.jpg,25.0,Angry,0.16592836,0.16592836,0.1622157,0.13921265,0.13421446,0.13783295,0.13599947,0.124596365
126,0127.jpg,25.2,Angry,0.16736136,0.16736136,0.16239217,0.13714656,0.13270581,0.13778223,0.13779105,0.1248208
127,0128.jpg,25.4,Angry,0.1659417,0.1659417,0.16373888,0.13650551,0.13305072,0.1364036,0.140513,0.12384662
128,0129.jpg,25.6,Angry,0.16808514,0.16808514,0.15904506,0.13732448,0.1334921,0.13625234,0.14301851,0.122782305
129,0130.jpg,25.8,Angry,0.16810755,0.16810755,0.16134144,0.1363742,0.13412899,0.13664733,0.14116873,0.12223174
130,0131.jpg,26.0,Angry,0.1661992,0.1661992,0.16277754,0.1361615,0.13289413,0.1368184,0.14189602,0.12325323
131,0132.jpg,26.2,Angry,0.16605449,0.16605449,0.16267827,0.13667206,0.13408703,0.13686556,0.14073673,0.12290583
132,0133.jpg,26.4,Angry,0.16486466,0.16486466,0.16239293,0.1383445,0.13367558,0.13600652,0.14097217,0.12374359
133,0134.jpg,26.6,Angry,0.16506572,0.16506572,0.1619538,0.1386077,0.13359925,0.13640508,0.14030409,0.12406437
134,0135.jpg,26.8,Disgusted,0.16501057,0.16437925,0.16501057,0.13740191,0.133412,0.13449055,0.14007823,0.12522753
135,0136.jpg,27.0,Disgusted,0.16654968,0.16306716,0.16654968,0.13752642,0.13733676,0.13652825,0.13551968,0.12347199
136,0137.jpg,27.2,Disgusted,0.16845427,0.16366994,0.16845427,0.13752303,0.13604534,0.13557723,0.13621758,0.122512564
137,0138.jpg,27.4,Angry,0.16938366,0.16938366,0.16511051,0.13600786,0.13209847,0.13665761,0.13688238,0.123859495
138,0139.jpg,27.6,Disgusted,0.16635373,0.16430421,0.16635373,0.13872007,0.13548253,0.13598876,0.13315004,0.12600063
139,0140.jpg,27.8,Disgusted,0.16777259,0.16343741,0.16777259,0.14359917,0.13621554,0.1357628,0.12805937,0.1251531
140,0141.jpg,28.0,Angry,0.16864544,0.16864544,0.16203143,0.13737066,0.13764462,0.13456178,0.1394131,0.12033285
141,0142.jpg,28.2,Angry,0.16821642,0.16821642,0.15716228,0.13290027,0.13951454,0.1330406,0.15011548,0.11905038
142,0143.jpg,28.4,Angry,0.16984701,0.16984701,0.15934807,0.13610986,0.1338356,0.13570033,0.14516298,0.11999616
143,0144.jpg,28.6,Angry,0.16645667,0.16645667,0.16070342,0.13444313,0.13438682,0.13609248,0.14409617,0.12382128
144,0145.jpg,28.8,Angry,0.16648352,0.16648352,0.1624887,0.1368077,0.13262615,0.13615838,0.14221205,0.12322352
145,0146.jpg,29.0,Angry,0.16693841,0.16693841,0.16306208,0.1353878,0.13409531,0.13565104,0.14300567,0.12185977
146,0147.jpg,29.2,Angry,0.16833383,0.16833383,0.1640151,0.13670187,0.13430719,0.13556752,0.1392382,0.121836305
147,0148.jpg,29.4,Angry,0.16683292,0.16683292,0.1639845,0.13420622,0.13669091,0.13620432,0.14155912,0.12052202
148,0149.jpg,29.6,Angry,0.16554236,0.16554236,0.16429307,0.13457994,0.13369125,0.13825402,0.14229892,0.12134038
149,0150.jpg,29.8,Angry,0.16575132,0.16575132,0.16251801,0.13731216,0.13285424,0.1374829,0.13948648,0.12459491
